City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,iseyin,NG,2020-09-01 06:52:09,7.97,3.6,70.12,95,100,5.3,overcast clouds
255,abashiri,JP,2020-09-01 06:52:09,44.02,144.27,69.8,56,20,19.46,few clouds
256,pochutla,MX,2020-09-01 06:52:09,15.74,-96.47,75.99,78,0,3.87,clear sky
257,iralaya,HN,2020-09-01 06:52:09,15.0,-83.23,79.27,83,0,7.0,light rain
258,huaidian,CN,2020-09-01 06:52:09,33.43,115.03,86.47,59,51,10.51,broken clouds
259,san patricio,MX,2020-09-01 06:52:09,19.22,-104.7,77.52,84,100,3.83,overcast clouds
260,arnprior,CA,2020-09-01 06:52:09,45.43,-76.35,60.01,90,99,8.7,overcast clouds
261,half moon bay,US,2020-09-01 06:52:10,37.46,-122.43,59.0,93,90,6.93,mist
262,sitka,US,2020-09-01 06:48:26,57.05,-135.33,55.4,93,90,9.17,mist
263,broken hill,AU,2020-09-01 06:52:10,-31.95,141.43,68.0,19,100,11.41,overcast clouds
264,camopi,GF,2020-09-01 06:52:10,3.17,-52.32,70.23,97,19,1.95,few clouds
265,olafsvik,IS,2020-09-01 06:52:10,64.89,-23.71,50.45,86,100,6.93,overcast clouds
266,katsuura,JP,2020-09-01 06:52:10,35.13,140.3,82.99,74,75,12.75,broken clouds
267,gurjaani,GE,2020-09-01 06:52:10,41.74,45.8,79.61,43,0,4.29,clear sky
268,kourou,GF,2020-09-01 06:51:50,5.16,-52.65,75.2,100,85,7.11,light rain
269,torbay,CA,2020-09-01 06:52:10,47.67,-52.73,52.0,100,90,16.11,overcast clouds
270,montepuez,MZ,2020-09-01 06:52:11,-13.13,39.0,79.83,41,31,8.95,scattered clouds
271,plettenberg bay,ZA,2020-09-01 06:52:11,-34.05,23.37,59.05,60,100,17.07,overcast clouds
272,buraydah,SA,2020-09-01 06:52:11,26.33,43.98,93.2,23,0,4.7,clear sky
273,pingliang,CN,2020-09-01 06:52:11,35.54,106.69,73.45,42,24,6.53,light rain
